order_id,order_date,month,month_num,region,customer_lat,customer_lon,product_category,demand_units,weight_kg,order_value_usd,shipping_mode,dist_wh1_km,cost_wh1_usd,lead_wh1_days,service_met_wh1,dist_wh2_atlanta_km,dist_wh3_la_km,dist_wh4_dallas_km,wh_assigned_s1,dist_s1_km,cost_s1_usd,lead_s1_days,service_met_s1,wh_assigned_s2,dist_s2_km,cost_s2_usd,lead_s2_days,service_met_s2
ORD-10001,2025-01-01 00:00:00,Jan,1,Northeast,41.7085,-78.9657,Home & Kitchen,3,13.4,504.33,Standard Ground,718.2,21.36,2.0,1,1004.8,3518.3,1859.2,WH1_CHICAGO,718.2,17.17,2.6,0,WH1_CHICAGO,718.2,18.47,2.2,0
ORD-10002,2025-01-01 00:00:00,Jan,1,Northwest,46.4161,-123.5459,Apparel,5,44.49,1615.39,Standard Ground,2884.1,60.51,7.0,0,3571.8,1445.7,2727.2,WH3_LOS_ANGELES,1445.7,40.95,4.5,0,WH1_CHICAGO,2884.1,57.19,7.0,0
ORD-10003,2025-01-01 01:00:00,Jan,1,West Coast,39.2427,-122.3908,Apparel,2,1.6,69.94,Standard Ground,2930.9,38.92,7.0,0,3425.9,685.4,2402.3,WH3_LOS_ANGELES,685.4,11.93,2.3,0,WH1_CHICAGO,2930.9,41.79,7.0,0
ORD-10004,2025-01-01 01:00:00,Jan,1,Southeast,33.0158,-81.4139,Home & Kitchen,4,54.14,1780.56,Standard Ground,1127.1,42.71,3.1,0,287.9,3397.1,1435.2,WH1_CHICAGO,1127.1,41.22,3.8,0,WH2_ATLANTA,287.9,33.33,1.5,1
ORD-10005,2025-01-01 01:00:00,Jan,1,Midwest,41.6087,-85.7111,Electronics,2,27.57,620.37,Standard Ground,162.0,18.6,1.3,1,881.6,2958.4,1386.5,WH1_CHICAGO,162.0,19.5,1.2,1,WH1_CHICAGO,162.0,19.09,1.2,1
ORD-10006,2025-01-01 02:00:00,Jan,1,Midwest,38.4632,-83.0443,Electronics,2,12.26,397.75,Express Air,543.9,35.8,2.1,0,537.9,3174.4,1392.6,WH1_CHICAGO,543.9,34.26,2.5,0,WH2_ATLANTA,537.9,35.42,2.1,0
ORD-10007,2025-01-01 03:00:00,Jan,1,Midwest,42.5503,-83.9208,Grocery,4,51.0,830.54,Standard Ground,314.4,29.78,1.4,1,979.5,3116.3,1566.8,WH1_CHICAGO,314.4,32.99,1.7,1,WH1_CHICAGO,314.4,30.6,2.1,0
ORD-10008,2025-01-01 03:00:00,Jan,1,Southwest,33.7485,-97.0348,Grocery,2,1.61,81.96,Standard Ground,1223.1,16.7,3.7,0,1168.5,1954.2,110.3,WH1_CHICAGO,1223.1,21.38,3.9,0,WH2_ATLANTA,1168.5,20.42,3.4,0
ORD-10009,2025-01-01 04:00:00,Jan,1,Southeast,30.9748,-84.1907,Footwear,1,2.25,58.87,Express Air,1250.5,42.81,4.2,0,309.0,3196.6,1206.3,WH1_CHICAGO,1250.5,44.33,3.8,0,WH2_ATLANTA,309.0,19.21,1.4,1
ORD-10010,2025-01-01 04:00:00,Jan,1,West Coast,40.4739,-116.7291,Electronics,5,17.39,492.22,Economy Saver,2428.8,31.93,6.4,0,2945.7,726.5,1967.8,WH3_LOS_ANGELES,726.5,17.38,2.3,0,WH1_CHICAGO,2428.8,32.33,6.5,0
ORD-10011,2025-01-01 04:00:00,Jan,1,Midwest,40.2608,-96.4549,Apparel,4,17.66,395.47,Standard Ground,761.0,19.92,2.5,0,1291.3,2044.2,832.8,WH1_CHICAGO,761.0,22.55,2.7,0,WH1_CHICAGO,761.0,19.94,2.6,0
ORD-10012,2025-01-01 04:00:00,Jan,1,Northwest,45.681,-122.5754,Electronics,3,28.07,949.28,Economy Saver,2814.4,38.15,7.0,0,3485.1,1344.3,2625.4,WH3_LOS_ANGELES,1344.3,25.22,4.3,0,WH1_CHICAGO,2814.4,41.07,7.0,0
ORD-10013,2025-01-01 05:00:00,Jan,1,Southwest,31.5005,-95.4144,Home & Kitchen,4,58.26,1223.59,Standard Ground,1345.2,48.76,4.3,0,1061.9,2148.6,192.6,WH1_CHICAGO,1345.2,46.54,4.0,0,WH2_ATLANTA,1061.9,45.45,3.3,0
ORD-10014,2025-01-01 05:00:00,Jan,1,Northeast,42.2772,-71.5243,Beauty,4,11.08,289.57,Standard Ground,1328.0,27.66,3.8,0,1469.9,4131.9,2453.8,WH1_CHICAGO,1328.0,25.94,4.1,0,WH1_CHICAGO,1328.0,25.74,3.6,0
ORD-10015,2025-01-01 06:00:00,Jan,1,Midwest,42.3914,-93.4023,Home & Kitchen,4,51.03,2089.66,Standard Ground,479.3,34.32,2.1,0,1241.9,2348.8,1109.9,WH1_CHICAGO,479.3,33.34,2.1,0,WH1_CHICAGO,479.3,33.87,1.7,1
ORD-10016,2025-01-01 06:00:00,Jan,1,Midwest,40.8176,-81.0877,Home & Kitchen,5,58.14,2306.26,Express Air,558.5,76.51,2.8,0,838.3,3339.4,1656.2,WH1_CHICAGO,558.5,76.99,2.4,0,WH1_CHICAGO,558.5,79.02,2.1,0
ORD-10017,2025-01-01 07:00:00,Jan,1,Northeast,41.3736,-73.0805,Grocery,5,30.08,756.44,Express Air,1209.2,68.66,4.0,0,1306.5,4008.7,2301.1,WH1_CHICAGO,1209.2,67.78,3.9,0,WH1_CHICAGO,1209.2,67.79,3.5,0
ORD-10018,2025-01-01 08:00:00,Jan,1,Southeast,34.5909,-81.2539,Electronics,3,26.25,538.96,Express Air,982.5,59.78,3.4,0,303.1,3378.2,1450.7,WH1_CHICAGO,982.5,60.13,3.3,0,WH2_ATLANTA,303.1,41.75,1.7,1
ORD-10019,2025-01-01 08:00:00,Jan,1,Southeast,28.5572,-83.2186,Beauty,1,5.62,186.11,Standard Ground,1533.9,24.7,4.4,0,587.9,3366.5,1379.5,WH1_CHICAGO,1533.9,27.49,4.8,0,WH2_ATLANTA,587.9,13.7,2.1,0
ORD-10020,2025-01-01 08:00:00,Jan,1,Northeast,40.6318,-70.7963,Grocery,4,16.09,310.72,Economy Saver,1411.7,21.95,3.6,0,1424.1,4206.3,2465.7,WH1_CHICAGO,1411.7,20.27,4.2,0,WH1_CHICAGO,1411.7,20.5,4.2,0
ORD-10021,2025-01-01 08:00:00,Jan,1,Southeast,33.9049,-87.4395,Home & Kitchen,5,12.15,480.55,Standard Ground,886.7,22.88,2.9,0,282.4,2829.5,877.9,WH1_CHICAGO,886.7,23.31,2.9,0,WH2_ATLANTA,282.4,14.85,1.9,1
ORD-10022,2025-01-01 09:00:00,Jan,1,Midwest,42.3602,-90.4115,Beauty,3,30.2,559.36,Standard Ground,235.6,21.88,1.4,1,1092.4,2587.0,1204.2,WH1_CHICAGO,235.6,24.03,1.9,1,WH1_CHICAGO,235.6,21.91,1.4,1
ORD-10023,2025-01-01 09:00:00,Jan,1,Northeast,38.5098,-76.0854,Home & Kitchen,1,3.12,116.63,Standard Ground,1048.6,18.87,3.4,0,913.8,3778.2,1972.0,WH1_CHICAGO,1048.6,17.4,3.4,0,WH2_ATLANTA,913.8,19.12,3.1,0
ORD-10024,2025-01-01 11:00:00,Jan,1,Northeast,41.6765,-70.8531,Grocery,4,52.29,2199.39,Economy Saver,1389.1,32.0,3.9,0,1478.4,4191.5,2488.6,WH1_CHICAGO,1389.1,33.59,4.1,0,WH1_CHICAGO,1389.1,32.39,4.1,0
ORD-10025,2025-01-01 11:00:00,Jan,1,Southeast,34.8624,-80.6039,Apparel,3,27.47,609.2,Standard Ground,991.1,28.7,3.2,0,368.9,3431.7,1512.1,WH1_CHICAGO,991.1,30.22,3.1,0,WH2_ATLANTA,368.9,22.38,1.7,1
ORD-10026,2025-01-01 11:00:00,Jan,1,West Coast,37.6826,-119.2973,Grocery,3,31.27,841.65,Express Air,2730.1,108.89,7.0,0,3163.5,414.7,2109.5,WH3_LOS_ANGELES,414.7,48.53,1.6,1,WH1_CHICAGO,2730.1,107.61,7.0,0
ORD-10027,2025-01-01 11:00:00,Jan,1,Midwest,42.8939,-95.2563,Apparel,3,28.35,974.3,Standard Ground,636.2,21.82,1.9,1,1388.0,2219.7,1133.0,WH1_CHICAGO,636.2,24.16,2.6,0,WH1_CHICAGO,636.2,25.67,2.4,0
ORD-10028,2025-01-01 12:00:00,Jan,1,Southeast,34.0444,-85.6348,Electronics,5,49.13,939.38,Standard Ground,888.4,38.52,3.2,0,119.7,2991.4,1045.1,WH1_CHICAGO,888.4,39.11,3.0,0,WH2_ATLANTA,119.7,27.37,1.6,1
